,Datetime,Timestamp,Open,High,Low,Close,Volume,Parabolic SAR,SAR Bear,SAR Bull,True range,Average true range,SMA_12,Situation,Action,Long,Short,Buy,Sell,Price,Win/Lose,Gain/Loss,Rate of return,BTC account,USD account
379,2019-01-01 18:55:00,1546369140000.0,3662.76,3665.72,3658.75,3659.41,77.00707,3667.98,3667.98,,6.9699999999998,9.778538456336406,3667.6199999999994,1,Long,1,,,,3668.5585249999995,,,,5.451732571173852,80000.0
610,2019-01-02 14:10:00,1546438440000.0,3811.71,3812.19,3796.51,3803.68,323.790408,3838.8474,3838.8474,,15.679999999999836,12.797987281602337,3817.2791666666635,0,Sell,,,,1,3794.1708,Win,684.8045309567533,0.006848045309567533,0,100684.80453095675
633,2019-01-02 16:05:00,1546445340000.0,3804.97,3805.98,3795.0,3802.57,126.41182500000002,3809.369960749223,3809.369960749223,,10.980000000000018,9.042465556013422,3803.7716666666624,1,Long,1,,,,3812.0764249999997,,,,5.282412696170264,80547.8436247654
1816,2019-01-06 18:40:00,1546800240000.0,3990.37,3995.23,3972.71,3977.76,325.685151,4025.669568,4025.669568,,22.519999999999982,17.109012204548577,3999.4158333333303,0,Sell,,,,1,3967.8156000000004,Win,822.6785953110957,0.00817083172722606,0,101507.48312626785
2040,2019-01-07 13:20:00,1546867440000.0,3967.42,3972.5,3965.63,3971.57,56.918424,3992.966595049664,3992.966595049664,,6.869999999999891,6.411022741384053,3969.006666666662,1,Long,1,,,,3981.498925,,,,5.0989582083721325,81205.98650101428
2907,2019-01-10 13:35:00,1547127540000.0,3718.18,3721.65,3715.01,3720.78,191.112138,3722.9551169664005,3722.9551169664005,,6.639999999999873,9.918893355249958,3725.265833333329,2,Long,1,,,,3730.08195,,,,13.807183667173572,48723.59190060857
3802,2019-01-13 16:10:00,1547396040000.0,3491.43,3497.6,3441.3,3479.43,1333.2622519999998,3576.33,3576.33,,56.29999999999973,16.531683666501653,3559.5674999999974,0,Sell,,,,2,3470.731425,Lose,-4862.864981253224,-0.047906467892659475,0,96644.61814501463
3867,2019-01-13 21:35:00,1547415540000.0,3477.93,3482.71,3473.07,3473.08,133.952056,3456.265888,,3456.265888,9.639999999999873,9.266767111429795,3469.3474999999967,1,Long,1,,,,3481.7626999999998,,,,5.5514764486973585,77315.6945160117
4431,2019-01-15 20:35:00,1547584740000.0,3551.58,3579.25,3522.0,3522.86,1045.9595399999998,3604.55,3604.55,,57.25,13.637488266516309,3589.8424999999934,0,Sell,,,,1,3514.0528500000005,Win,179.25800724991132,0.0018548162400614573,0,96823.87615226454
4656,2019-01-16 15:20:00,1547652240000.0,3596.36,3598.0,3591.14,3594.71,181.180824,3609.314896,3609.314896,,6.860000000000127,7.1453417511877655,3597.8324999999936,1,Long,1,,,,3603.696775,,,,5.373586192043838,77459.10092181164
5762,2019-01-20 11:30:00,1547984040000.0,3630.0,3631.97,3572.0,3592.94,1959.703287,3678.9866630564425,3678.9866630564425,,59.9699999999998,11.510046886581936,3668.0366666666578,0,Sell,,,,1,3583.9576500000003,Lose,-106.0698895430105,-0.0010954931134569096,0,96717.80626272153
5820,2019-01-20 16:20:00,1548001440000.0,3529.58,3529.96,3525.0,3525.28,51.381605,3509.7407168,,3509.7407168,4.960000000000036,7.7770424134448275,3526.5183333333243,1,Long,1,,,,3534.0932,,,,5.473415713129554,77374.24501017723
8487,2019-01-29 22:35:00,1548801540000.0,3414.81,3417.51,3414.81,3417.01,34.930076,3418.732847988736,3418.732847988736,,2.700000000000273,5.013464867206486,3416.1791666666686,2,Long,1,,,,3425.552525,,,,14.508366360710383,46424.54700610633
11307,2019-02-08 17:35:00,1549647540000.0,3642.47,3647.22,3637.22,3645.4,397.032575,3729.5673319999996,3729.5673319999996,,10.0,24.331869107987405,3653.4358333333334,0,Sell,,,,2,3636.2865,Win,2463.317477890101,0.02546912066221617,0,99181.12374061163
11689,2019-02-10 01:25:00,1549762140000.0,3653.48,3654.9,3652.38,3653.31,43.601338999999996,3659.912141675901,3659.912141675901,,2.519999999999982,4.452783055353603,3658.694166666672,1,Long,1,,,,3662.4432749999996,,,,5.416117946051282,79344.89899248931
14152,2019-02-18 14:40:00,1550501040000.0,3819.47,3821.6,3798.64,3801.02,440.847882,3847.0,3847.0,,22.960000000000036,15.661131992672098,3826.420000000005,0,Sell,,,,1,3791.5174500000003,Win,699.0809555892774,0.007048528280619039,0,99880.2046962009
14245,2019-02-18 22:25:00,1550528940000.0,3881.44,3882.56,3872.67,3874.82,93.54156,3888.76,3888.76,,9.889999999999873,9.767957767795805,3886.455000000006,1,Long,1,,,,3884.50705,,,,5.1424905868661455,79904.16375696073
15639,2019-02-23 18:35:00,1550947140000.0,4084.28,4092.11,4083.12,4090.94,194.084816,4077.9,,4077.9,8.990000000000236,21.093422368410945,4089.137500000003,0,Sell,,,,1,4080.7126500000004,Win,1008.9854510904261,0.010101956179999743,0,100889.19014729133
15798,2019-02-24 07:50:00,1550994840000.0,4165.3,4168.97,4164.58,4166.7,64.14792399999999,4169.417299274068,4169.417299274068,,4.390000000000327,5.578008738576386,4167.571666666666,1,Long,1,,,,4177.116749999999,,,,4.830565971003389,80711.35211783307
15996,2019-02-25 00:20:00,1551054240000.0,3757.0,3767.52,3756.04,3764.46,124.326494,3773.00852202496,3773.00852202496,,11.489999999999782,13.563846394344447,3765.905833333331,2,Long,1,,,,3773.87115,,,,13.385320376736935,48426.81127069984
